ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-11-22 16:15:33+00:00,android,39640,US,Fertilizer,Frank Ocean,channel ORANGE,spotify:track:6jypaMkKsoc5npsVzxhksl,trackdone,trackdone,False,False,False,1732292094.0,False
2024-11-22 16:18:02+00:00,android,148760,US,Sierra Leone,Frank Ocean,channel ORANGE,spotify:track:1HwbgJAU9PZ7YbzKgVgoIF,trackdone,trackdone,False,False,False,1732292133.0,False
2024-11-22 16:22:25+00:00,android,262680,US,Sweet Life,Frank Ocean,channel ORANGE,spotify:track:6MEDfjHxnVNcYmHe3mM6L2,trackdone,trackdone,False,False,False,1732292282.0,False
2024-11-22 16:23:25+00:00,android,59760,US,Not Just Money,Frank Ocean,channel ORANGE,spotify:track:3iW3y326xuRpNVXzOMBZy5,trackdone,trackdone,False,False,False,1732292544.0,False
2024-11-22 16:28:29+00:00,android,304760,US,Super Rich Kids,Frank Ocean,channel ORANGE,spotify:track:0725YWm6Z0TpZ6wrNk64Eb,trackdone,trackdone,False,False,False,1732292604.0,False
2024-11-22 16:31:34+00:00,android,184080,US,Pilot Jones,Frank Ocean,channel ORANGE,spotify:track:2ohegz9maxzroKBu9YhcCM,trackdone,trackdone,False,False,False,1732292909.0,False
2024-11-22 16:35:18+00:00,android,224146,US,Crack Rock,Frank Ocean,channel ORANGE,spotify:track:5lcyIeEfwZTs8Ajw3kdF7P,trackdone,trackdone,False,False,False,1732293093.0,False
2024-11-22 16:45:11+00:00,android,592920,US,Pyramids,Frank Ocean,channel ORANGE,spotify:track:4QhWbupniDd44EDtnh2bFJ,trackdone,trackdone,False,False,False,1732293317.0,False
2024-11-22 16:49:05+00:00,android,234093,US,Lost,Frank Ocean,channel ORANGE,spotify:track:3GZD6HmiNUhxXYf8Gch723,trackdone,trackdone,False,False,False,1732293910.0,False
2024-11-22 16:50:21+00:00,android,76280,US,White,Frank Ocean,channel ORANGE,spotify:track:1VMdwVq0yaTc4DeqSCi7DO,trackdone,trackdone,False,False,False,1732294144.0,False
2024-11-22 16:53:41+00:00,android,200240,US,Monks,Frank Ocean,channel ORANGE,spotify:track:0msrDPXxZpts4FRnoX0bFr,trackdone,trackdone,False,False,False,1732294221.0,False
2024-11-22 16:56:37+00:00,android,175453,US,Bad Religion,Frank Ocean,channel ORANGE,spotify:track:2pMPWE7PJH1PizfgGRMnR9,trackdone,trackdone,False,False,False,1732294421.0,False
2024-11-22 17:01:05+00:00,android,268813,US,Pink Matter,Frank Ocean,channel ORANGE,spotify:track:1fOkmYW3ZFkkjIdOZSf596,trackdone,trackdone,False,False,False,1732294597.0,False
2024-11-22 17:04:20+00:00,android,194840,US,Forrest Gump,Frank Ocean,channel ORANGE,spotify:track:4YZbVct8l9MnAVIROnLQdx,trackdone,trackdone,False,False,False,1732294865.0,False
2024-11-22 17:06:35+00:00,android,134600,US,End,Frank Ocean,channel ORANGE,spotify:track:05tFLPSXJ1BbqIXy4Jeqfh,trackdone,trackdone,False,False,False,1732295060.0,False
2024-11-22 17:18:47+00:00,android,197019,US,St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",CHROMAKOPIA,spotify:track:1QoyuMHNBe7lg3YW4Qtll4,clickrow,trackdone,False,False,False,1732295731.0,False
2024-11-22 17:22:08+00:00,android,160840,US,Rah Tah Tah,"Tyler, The Creator",CHROMAKOPIA,spotify:track:5RePVWy39tLpHH0WwXgBsK,trackdone,endplay,False,True,False,1732295927.0,False
2024-11-22 17:27:21+00:00,android,314075,US,Nikes,Frank Ocean,Blonde,spotify:track:19YKaevk2bce4odJkP5L22,clickrow,trackdone,False,False,False,1732296128.0,False
2024-11-22 17:31:31+00:00,android,249191,US,Ivy,Frank Ocean,Blonde,spotify:track:2ZWlPOoWh0626oTaHrnl2a,trackdone,trackdone,False,False,False,1732296441.0,False
